TOOLKIT STRUCTURE,TYPE,TITLE,NARRATIVE,HOOK,CORE TOPICS,LINKED KNOWLEDGE AREAS + DISCIPLINES,FORMATS,TOOLS,GUEST SPEAKER,GUEST SPEAKER JOB TITLE / COMPANY,CONTENT OUTLINE LINK,REFERENCES,CORE TOPICS (Cleaned),LINKED KNOWLEDGE AREAS + DISCIPLINES (Cleaned)
1,public-facing,Welcome to MA IE + The Online Toolkit,"Introduce the course, team, and what 
“Internet Equalities” means. 
Explain the aims of the toolkit, 
the kind of knowledge it 
holds, and how students, 
collaborators, and the public 
can engage with and expand it.","“What are Internet Equalities 
and how do we change them?”","Internet Inequality, 
Practice-Based Research, 
Critical Literacy, Systemic Power","Practice-Led Research, 
Participatory Methods, Critical Data Studies, 
Infrastructure Studies","Video interview-style intro + 
graphic overlays of themes + 
toolkit walkthrough","Zoom, Miro, motion graphics","Course Leads 
(Ceren, Cindy, Aslı, Joana, Batool, Yasemin) + 
past MA IE grads + MA IE current students",,Content Outline,"Escobar, Arturo. Designs for the Pluriverse (2018) – decolonial design as relational, collective practice

Costanza-Chock, Sasha. Design Justice: Community-Led Practices to Build the Worlds We Need (2020)

Sandoval, Chela. Methodology of the Oppressed (2000) – frameworks for oppositional consciousness

MA IE student projects, Feminist Internet, CCI platforms","code-based storyteller, critical technologist, live systems performer, virtual reality (vr)","critical data studies, infrastructure studies, participatory system design, user experience (ux)"
2,public-facing,"They’re Listening to Me”: 
How Platforms Harvest Our Lives","From cookies to microphones to trackers:
 what does “data extractivism” actually mean, 
and how is it embedded in everyday interactions?","“Why do I get ads for 
things I only whispered?”","Data Extractivism, Surveillance Studies, Signals & Behavioural Inference","Critical Data Studies, Internet Studies, 
Law & Policy","Animated explainer + phone simulation + 
tracker audit walkthrough (Blacklight)",,"[Lina Dencik (Co-director, Data Justice Lab - 
Surveillance, civic tech, data justice)], 
[Mimi Onuoha (Artist & Researcher (NYU, Princeton)	
Missing datasets, data visibility)] , 
[Liliana Bounegru (As above	
Civic data flows and extraction intersection)], 
[Joana Chicau]",,Content Outline,"Zuboff, Shoshana. The Age of Surveillance Capitalism (2019) – definitive critique of extractive data economies

Bratton, Benjamin. The Stack (2016) – systemic model of planetary computation

Gilliard, Chris – writing on digital redlining and ambient surveillance

Mozilla Foundation & The Markup – studies on trackers, privacy audits (e.g., Blacklight tool) + Tactical Tech (https://tacticaltech.org/projects/data-detox-kit/)","data extractivism, signals and behavioural inference, surveillance studies","critical data studies, internet studies, law and policy"
3,public-facing,What Is AI (And Why Is It Biased)?,"A foundational explainer covering what 
AI and machine learning are, 
how data is used to train models, 
and why inequality is embedded 
into these systems. Anchored in MA IE’s critical lens.","“How can machines be biased 
and who decides what they learn?”","Artificial Intelligence, Machine Learning, 
Dataset Construction, 
Algorithmic Harm, Social Bias","AI Ethics, Critical Data Studies, 
Political Economy of Technology, 
Data Genealogy","Visual explainer with metaphors, 
side-by-side examples, 
training dataset walkthrough","Concept visualisations, 
model training animations, 
voiceover + captions","[Deb Raji or Kate Crawford (if possible)],
[Joanna Zylinska,
 Jonathan W. Y. Gray, 
Tommy Shane, 
Axel Meunier(From Public Data Lab)],
Xiaowan Yi (AL in MSc Data Science and AI)",,Content Outline,"Crawford, Kate. Atlas of AI (2021) – maps the extractive, political nature of AI systems

Benjamin, Ruha. Race After Technology (2019) – “New Jim Code” & coded inequities

Raji, Deborah & Buolamwini, Joy – Gender Shades (2018) – facial analysis bias in commercial AI

D’Ignazio, Catherine & Klein, Lauren. Data Feminism (2020) – power and positionality in data","algorithmic bias, artificial intelligence (ai), machine learning (ml), synthetic data & anonymisation, tidalcycles / sonic pi","algorithmic bias, critical data studies, data science, political economy of technology"
4,public-facing,What’s Behind Your Feed?,"Explore how recommender systems 
shape your world: who sees what, why, and who’s left out.",“Why do I never see what my friends see?”,"Algorithmic Infrastructure, Optimisation Loops, Moderation Logic","Media & Platform Studies, STS, HCI","Story simulation: two user journeys diverge 
+ whiteboard diagram of “the feed engine”",,"[Ben Green 
(Author of 
'The Smart Enough City')],
[Kelsey Smith, Georgia Bullen, Ame Elliott (Superbloom, critical tech. designers )]",,Content Outline,"Gillespie, Tarleton. Custodians of the Internet (2018) – moderation, platform governance

Noble, Safiya – Algorithms of Oppression

Green, Ben – The Smart Enough City (2019) – critique of technosolutionism and hidden platform power

Roberts, Sarah T. Behind the Screen (2019) – content moderation labor and invisibility","embodied interaction, infrastructure geopolitics","csv / json, media and platform studies, policy hacker"
5,public-facing,Terms of Service Are a Trap (And They’re Meant to Be),"How platform governance exploits 
consent fatigue and obscures risk.",“I didn’t read the terms… and they know it”,"Digital Rights, Consent Numbness, GDPR, UX Dark Patterns","Law & Policy, UX, Participatory Design"," Infodrama: mock trial of a ToS agreement 
+ diagram of opt-in traps","Blacklight, EULAlyzer, security headers","Jasmine McNealy 
(Consent & Platform Governance)",,,,"digital humanities, hydra, public transparency & consent numbness, user experience (ux)","law and policy, participatory system design, user experience (ux)"
6,public-facing,What Even Is the Cloud?,"The internet is physical. Explore the 
infrastructure, ownership, and 
geopolitical entanglements that 
shape your digital life.",“Where does my data really go?”,"Infrastructure Geopolitics, Data Centres, Environmental Impact","Infrastructure Studies, Environmental Humanities, 
Political Economy of Tech",Documentary-style short + animated world map of cable & server routes,,"Ingrid Burrington 
(Infrastructure Mapping)",,,,"data architecture, environmental humanities, infrastructure geopolitics","environmental humanities, infrastructure studies, political economy of technology"
7,public-facing,Who Gets Recognised by AI?,"Facial recognition, AI-generated art, 
and voice assistants that misfire, 
why ML systems fail for",“It never gets my name right”,"Algorithmic Bias, Dataset Genealogy, Synthetic Data, AI Ethics","AI Ethics, Critical Data Studies, 
Disability & Access Studies","Interview montage + 
training data breakdown + 
generative AI visual demo",,,,,,"algorithmic bias, dataset genealogy & dataset politics, synthetic data designer","algorithmic bias, critical data studies, disability and access studies"
8,public-facing,Who Gets to Design the Internet?,"Systems aren’t neutral. From 
classification logics to interface design, 
how digital systems can exclude or 
empower.","“It was designed for someone else, not me”","Database Schemas, Access, Participatory Design, Localisation","Design Justice, Anthropology, 
Disability & Access Studies","Side-by-side UI comparisons + interviews 
with community-led tech creators",,"[Ruha Benjamin],
[Sasha Costanza-Chock],
[Liliana Bounegru (Lecturer, Public Data Lab	
Civic infrastructure, participatory methods)],
[Janna Omena (Digital Methods Lecturer, Public 
Data Lab - Urban data, inclusive systems)],
[Cyd Harrell (Civic & Gov UX Practitioner - 
Civic UX in public services)]",,Content Outline,"Costanza-Chock, Sasha. Design Justice (2020) – foundational framework

Bowker, Geoffrey & Star, Susan Leigh. Sorting Things Out (1999) – classification systems and power

Noble, Safiya Umoja. Algorithms of Oppression (2018) – racialized search engines

Tetchou Nganso, Blandine – Participatory AI design with excluded communities (papers & talks)","access strategist, database schemas & classification logics, participatory system design, visualisation ethicist","anthropology and ethnography, design studies, disability and access studies"
9,public-facing,Machine Learning Needs New Stories,"What if datasets told different stories? 
How to imagine, curate, and build 
systems from new narratives.","“What stories get turned 
into training data?”","Speculative Datasets, Code as Narrative, Generative Systems","Creative Coding, Communication Studies, 
Digital Humanities","Computational poetry + speculative 
walkthrough of a fictional dataset + sonification clip","CLIP Interrogator, ComfyUI, VQGAN, 
mage.space, ObservableHQ","Caroline Sinders 
(Speculative Data + Design Justice)",,,,"code as narrative / code as protest, narrative systems builder, speculative dataset curator","communication and narrative studies, critical / creative coding, digital humanities"
10,public-facing,Can the Internet Be a Commons?,"Rethink tech beyond platform capitalism:
 what would a cooperative, sustainable, 
and accountable infrastructure look like?","“What if we owned the 
platform together?”","Platform Governance, Decentralisation, Degrowth Tech","Political Economy, STS, Public Technology","Interactive game logic walkthrough + 
illustrated manifesto + cooperative prototype demo",,"Nathan Schneider 
(Platform Co-ops & Public Tech)",,,,"platform governance, sustainable and degrowth approaches to tech, visualisation ethicist","csv / json, political economy of technology, public technologist"
