Layer,Entry,Description
Discipline,Human–Computer Interaction (HCI),"The study of how people interact with computers and digital systems. It focuses on interface logic, feedback loops, and system usability, often using experimental and analytical methods."
Discipline,User Experience (UX),"The design field focused on how users feel when interacting with a product or system. It involves research, usability testing, and interface design aimed at creating intuitive, inclusive, and satisfying digital experiences."
Discipline,Human-Centred Design,"A creative approach to problem-solving that begins with the people you’re designing for and ends with solutions tailored to their needs. It prioritises empathy, iteration, and participation throughout the design process."
Discipline,Design Studies,"Theories and histories of design, and how design choices shape society."
Discipline,Digital Humanities,Using digital tools to analyse and interpret cultural and historical data.
Discipline,Internet Studies,"Exploring how digital platforms, protocols, and politics shape daily life."
Discipline,Critical Data Studies,"Understanding the social, political, and ethical dimensions of data."
Discipline,Data Science,"The interdisciplinary field combining statistics, computer science, and data analysis to derive insights and patterns from structured and unstructured data."
Discipline,Media and Platform Studies,"How platforms organise content, labour, attention, and visibility."
Discipline,Science and Technology Studies (STS),Studying how technologies and sciences are shaped by power and culture.
Discipline,Political Economy of Technology,"Investigating who funds, owns, and profits from technological systems."
Discipline,Surveillance Studies,"How digital systems are used to monitor, track, and influence people."
Discipline,Law and Policy,"Understanding digital rights, data protection laws, and governance."
Discipline,Archival Studies,"How memory and records are created, maintained, and contested."
Discipline,Artificial Intelligence (AI) Ethics,"Exploring fairness, bias, and responsibility in automated systems."
Discipline,Disability and Access Studies,"Designing systems that work across sensory, cognitive, and physical differences."
Discipline,Participatory Design and Design Justice,"Co-creating technologies with communities, not just for them."
Discipline,Anthropology and Ethnography,Studying communities and systems through deep observation and engagement.
Discipline,Communication and Narrative Studies,Understanding how stories shape systems and how systems shape stories.
Discipline,Critical / Creative Coding,"Using code as a critical and/or artistic medium of expression. This discipline explores how software can be used to produce cultural critique, aesthetic experimentation, and interactive systems that expose or challenge technological norms. It includes forms such as web-based artworks, generative visuals, computational poetry, data sonification, and interactive installations. Emphasises code as a tool for storytelling, resistance, and speculative design."
Discipline,Infrastructure Studies,"The study of underlying physical and digital systems such as servers, fibre optics, and data centers, focusing on how these infrastructures shape access, power, and global inequality."
Discipline,Embodied Interaction,"Explores the ways digital systems engage with body movement, gesture, or touch. Often used in speculative or creative technology, this approach intersects hardware, UX, and design justice."
Discipline,Media Archaeology,"A critical discipline that analyses the historical development of digital and analogue technologies, exposing forgotten infrastructures and ideas beneath today’s platforms."
Discipline,Platform Labour Studies,"Examines the often-invisible labour that powers digital platforms, including moderation, labelling, and microwork, offering key insights into how inequality is embedded in platform operations."
Discipline,Environmental Humanities,"A transdisciplinary field linking environmental concerns with digital and infrastructural analysis—particularly important for considering sustainability, cloud infrastructure, and materiality of data."
Discipline,Communication Systems and Protocols,"Studies the technical and social dynamics of systems such as OSC, DMX, and MIDI that enable communication between digital devices and environments."
Knowledge Area,Full-Stack Systems,How platforms are built across layers—from what users see (front-end) to how data is stored and processed (back-end).
Knowledge Area,Application Programming Interfaces (APIs),Tools that let different software systems communicate by exchanging data.
Knowledge Area,Servers and Hosting,The infrastructure that stores digital content and responds to user requests.
Knowledge Area,Data Architecture,"How data is organised, stored, and accessed in a system."
Knowledge Area,Open Data and Open Data Sources,"Publicly available data provided by institutions, governments, or organisations that anyone can use, often with restrictions on commercial use or licensing. Students explore how this data can be reused for storytelling, transparency, or critique."
Knowledge Area,Platform Governance,"The rules and policies that determine what is visible, moderated, or suppressed on platforms."
Knowledge Area,Artificial Intelligence (AI),"Systems that simulate human intelligence in decision-making, image recognition, language processing, and more."
Knowledge Area,Machine Learning (ML),A subset of AI focused on building models that can learn from data and make predictions without being explicitly programmed.
Knowledge Area,Algorithmic Bias,How automated systems reflect or amplify existing inequalities.
Knowledge Area,Data Visualisation and Storytelling,Communicating complex information through visuals and narratives.
Knowledge Area,User Experience (UX) Design and Accessibility,"Creating digital systems that are usable, ethical, and inclusive."
Knowledge Area,Participatory System Design,"Designing with communities to ensure relevance, consent, and accountability."
Knowledge Area,Digital Archiving and Memory Systems,Preserving digital records and surfacing forgotten or erased histories.
Knowledge Area,Cybersecurity and Privacy by Design,Building systems that protect user data and minimise harm.
Knowledge Area,Digital Rights and Regulation,"Understanding data protection laws like the General Data Protection Regulation (GDPR), freedom of expression, and platform accountability."
Knowledge Area,Speculative and Critical Prototyping,Using design fiction or mockups to explore alternatives and critique the status quo.
Knowledge Area,Extended Reality (XR),"The umbrella term for immersive technologies, including Virtual Reality (VR), Augmented Reality (AR), and Mixed Reality (MR)."
Knowledge Area,Augmented Reality (AR),Overlaying digital content on top of the physical world (e.g. through a smartphone camera).
