Discipline,Knowledge Area,Tool / Technology,Role / System Orientation,Theme Cluster,,,
Human–Computer Interaction (HCI),UX & Accessibility,WAVE,Access Strategist,Digital Participation & Inclusion,,,
User Experience (UX),Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,,,
Human-Centred Design,Ethical Deployment,Consent-Based Survey Tools,Privacy-Focused Designer,Governance & Ethics,,,
Design Studies,Speculative and Critical Prototyping,p5.js,Speculative Prototyper,Creative & Critical Expression,,,
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,,,
Internet Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Critical Data Studies,Data Surveillance,Blacklight (by The Markup),Privacy-Focused Designer,Data Justice & Surveillance,,,
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,,,
Media and Platform Studies,Moderation Systems,APIs,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Surveillance Studies,Signals and Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,Digital Rights and Regulation,TOS;DR,Policy Hacker,Platform Governance,,,
Archival Studies,Memory Systems,Jekyll,Digital Archivist,Archiving & Memory,,,
AI Ethics,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,UX & Accessibility,Figma,UX Designer,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Localisation,Figma,Access Strategist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Sentiment Interpretation,RiTa.js,Narrative Systems Builder,Creative & Critical Expression,,,
Critical / Creative Coding,Live Coding and Performance Systems,Hydra,Live Systems Performer,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Full-Stack Systems,HTML / CSS / JavaScript,System Architect,System Infrastructure,,,
User Experience (UX),Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Human-Centred Design,Ethical Deployment,Consent-Based Survey Tools,Policy Hacker,Governance & Ethics,,,
Design Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,,,
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,,,
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Critical Data Studies,Data Surveillance,Blacklight (by The Markup),Privacy-Focused Designer,Data Justice & Surveillance,,,
Data Science,Machine Learning (ML),TensorFlow.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Media and Platform Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Artificial Intelligence (AI),Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,,,
Surveillance Studies,Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
