Discipline,Knowledge Area,Tool / Technology,Role / System Orientation,Theme Cluster,Inequality
Human–Computer Interaction (HCI),UX & Accessibility,WAVE,Access Strategist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
User Experience (UX),Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Human-Centred Design,Ethical Deployment,Consent-Based Survey Tools,Privacy-Focused Designer,Governance & Ethics,AI and Algorithmic Bias
Design Studies,Speculative and Critical Prototyping,p5.js,Speculative Prototyper,Creative & Critical Expression,Community Marginalisation |  Offline to Online
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,Data Surveillance and Extractivism
Internet Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,Community Marginalisation |  Offline to Online
Critical Data Studies,Data Surveillance,Blacklight (by The Markup),Privacy-Focused Designer,Data Justice & Surveillance,Data Surveillance and Extractivism
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,AI and Algorithmic Bias
Media and Platform Studies,Moderation Systems,APIs,Platform Critic,Platform Governance,Community Marginalisation |  Offline to Online
Science and Technology Studies (STS),Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,Community Marginalisation |  Offline to Online
Political Economy of Technology,Platform Governance,TOS;DR,Platform Critic,Platform Governance,Community Marginalisation |  Offline to Online
Surveillance Studies,Signals and Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,Community Marginalisation |  Offline to Online
Law and Policy,Digital Rights and Regulation,TOS;DR,Policy Hacker,Platform Governance,Industry-Specific Inclusion and Exclusion
Archival Studies,Memory Systems,Jekyll,Digital Archivist,Archiving & Memory,Community Marginalisation |  Offline to Online
AI Ethics,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,Community Marginalisation |  Offline to Online
Disability & Access Studies,UX & Accessibility,Figma,UX Designer,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,AI and Algorithmic Bias
Anthropology & Ethnography,Localisation,Figma,Access Strategist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Communication & Narrative Studies,Sentiment Interpretation,RiTa.js,Narrative Systems Builder,Creative & Critical Expression,Community Marginalisation |  Offline to Online
Critical / Creative Coding,Live Coding and Performance Systems,Hydra,Live Systems Performer,Creative & Critical Expression,Community Marginalisation |  Offline to Online
Human–Computer Interaction (HCI),Full-Stack Systems,HTML / CSS / JavaScript,System Architect,System Infrastructure,Community Marginalisation |  Offline to Online
User Experience (UX),Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,Community Marginalisation |  Offline to Online
Human-Centred Design,Ethical Deployment,Consent-Based Survey Tools,Policy Hacker,Governance & Ethics,AI and Algorithmic Bias
Design Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,Data Surveillance and Extractivism
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,Community Marginalisation |  Offline to Online
